number,discovery_date,discovery_site,discoverer,category,diameter_km
3159,"October 26, 1976",Nauchnij,T. M. Smirnova,MAR ·,9.8
3160,"June 14, 1980",Anderson Mesa,E. Bowell,·,4.8
3161,"October 9, 1980",Palomar,C. S. Shoemaker,·,14.0
3162,"December 16, 1980",Anderson Mesa,E. Bowell,·,29.0
3163,"August 28, 1981",Palomar,C. T. Kowal,·,3.9
3164,"September 24, 1960",Palomar,"C. J. van Houten , I. van Houten-Groeneveld , T. Gehrels",THM,19.0
3165,"August 31, 1984",Toyota,"K. Suzuki , T. Urata",·,7.7
3166,"March 30, 1940",Turku,Y. Väisälä,slow,7.8
3167,"September 13, 1955",Brooklyn,Indiana University,·,13.0
3168,"December 1, 1980",Kleť,A. Mrkos,EOS,13.0
3169,"June 4, 1981",Anderson Mesa,E. Bowell,H · moon,4.7
3170,"September 24, 1979",Nauchnij,N. S. Chernykh,KOR,9.6
3171,"November 19, 1979",Nanking,Purple Mountain,·,39.0
3172,"November 24, 1981",Anderson Mesa,E. Bowell,NYS,5.6
3173,"November 24, 1981",Anderson Mesa,E. Bowell,·,6.0
3174,"October 26, 1984",Anderson Mesa,E. Bowell,THM,20.0
3175,"December 16, 1979",La Silla,"H. Debehogne , Netto, E. R.",·,5.9
3176,"November 13, 1980",Piszkéstető,Z. Knežević,·,41.0
3177,"January 8, 1934",Flagstaff,H. L. Giclas,·,15.0
3178,"November 21, 1984",Toyota,"K. Suzuki , T. Urata",·,14.0
3179,"March 31, 1962",La Plata Observatory,La Plata,THM,21.0
3180,"September 7, 1962",Brooklyn,Indiana University,·,4.3
3181,"March 8, 1964",Tautenburg Observatory,F. Börngen,·,8.0
3182,"November 27, 1984",Geisei,T. Seki,EUN,8.9
3183,"August 2, 1949",Heidelberg,K. Reinmuth,·,15.0
3184,"August 22, 1949",Johannesburg,E. L. Johnson,slow?,19.0
3185,"November 11, 1953",Brooklyn,Indiana University,·,10.0
3186,"September 22, 1973",Nauchnij,N. S. Chernykh,THM,14.0
3187,"October 10, 1977",Nanking,Purple Mountain,moon,6.2
3188,"July 28, 1978",Bickley,Perth Observatory,·,4.3
3189,"September 13, 1978",Nauchnij,N. S. Chernykh,·,11.0
3190,"September 26, 1978",Nauchnij,L. V. Zhuravleva,EOS,8.9
3191,"September 22, 1979",Nauchnij,N. S. Chernykh,KOR,9.3
